City,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error
Burns,Eagle,80426,68.0,36.0,0,41.6,0.0,11.0,-,**,6.0,8.0,0,100,5.0,8.0,0,100,5.0,7.0,0,100,22.0,26.0,0,60.7,5.0,7.0,0,100,4.0,5.0,0,100,0.0,11.0,-,**,6.0,9.0,-,**,15.0,13.0,-,**
Central City,Gilpin,80427,679.0,165.0,7.4,6.5,0.0,11.0,-,**,14.0,17.0,0,76.1,68.0,45.0,21.7,37.9,65.0,51.0,0,43.5,106.0,47.0,0,27,165.0,63.0,0,19.5,90.0,57.0,13.6,16.6,68.0,46.0,15.6,30,70.0,39.0,25,34.7,33.0,27.0,0,95
Clark,Routt,80428,573.0,170.0,0,9.3,0.0,11.0,-,**,0.0,11.0,-,**,6.0,15.0,0,100,16.0,27.0,-,**,130.0,78.0,0,22.7,42.0,39.0,0,44,165.0,85.0,0,26.5,71.0,64.0,0,45.6,51.0,63.0,0,100,92.0,72.0,0,100
Climax,Lake,80429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalmont,Jackson,80430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como,Park,80432,159.0,115.0,0,27.5,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,64.0,62.0,0,35.3,73.0,75.0,0,73.6,12.0,20.0,0,82.3,10.0,17.0,-,**,0.0,11.0,-,**
Conifer,Jefferson,80433,6888.0,448.0,4.4,1.7,360.0,103.0,12.6,12,250.0,101.0,8.6,11.5,256.0,106.0,13.2,12.2,506.0,125.0,6.1,5.4,1070.0,171.0,5.9,4.7,1630.0,223.0,1.6,1.9,998.0,155.0,5.1,5.6,701.0,146.0,1.6,2.5,799.0,126.0,0,10.5,318.0,98.0,0,69.1
Cowdrey,Jackson,80434,26.0,26.0,0,76.1,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,9.0,14.0,-,**,8.0,13.0,0,100,9.0,7.0,0,100,0.0,11.0,-,**,0.0,11.0,-,**
Dillon,Summit,80435,6094.0,762.0,7,6.3,193.0,108.0,0,52.9,671.0,326.0,0,4.4,664.0,288.0,2.3,3.1,558.0,244.0,13.8,19,881.0,315.0,0.8,1.8,1268.0,330.0,1.9,2.6,651.0,196.0,1.8,3,625.0,273.0,51.9,45.1,460.0,142.0,43.6,44,123.0,68.0,0,59.4
Dumont,Clear Creek,80436,403.0,144.0,0,11.9,23.0,21.0,0,100,0.0,11.0,-,**,19.0,19.0,0,65.4,37.0,31.0,0,60.7,70.0,59.0,0,33.3,82.0,65.0,0,29.7,42.0,42.0,0,62.2,30.0,30.0,0,73.6,43.0,44.0,-,**,57.0,82.0,-,**
Evergreen,Jefferson,80437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire,Clear Creek,80438,362.0,88.0,4.2,3.8,13.0,16.0,0,79,27.0,24.0,0,57,7.0,7.0,0,100,31.0,20.0,15.4,17.9,42.0,21.0,0,47.5,31.0,19.0,0,55.9,55.0,27.0,8.1,12.6,63.0,56.0,0,42,90.0,42.0,12.5,22.1,3.0,6.0,-,**
Evergreen,Jefferson,80439,19833.0,600.0,5.6,1.2,1161.0,227.0,21.9,10,700.0,156.0,9.1,6.1,749.0,242.0,6.7,6,1054.0,207.0,0.7,1,2680.0,302.0,4.9,3.2,4212.0,322.0,4.3,1.9,2482.0,312.0,5.4,3.7,2264.0,251.0,5.7,3,3048.0,324.0,6.8,4.4,1483.0,234.0,0,19.9
Fairplay,Park,80440,1929.0,349.0,2.6,2.5,142.0,84.0,0,44.5,208.0,115.0,0,16.6,103.0,78.0,0,26.5,162.0,70.0,0,26.1,367.0,116.0,4.8,7.5,452.0,159.0,4.5,7,218.0,88.0,3.3,5.3,187.0,84.0,0,18.4,75.0,42.0,0,41.6,15.0,21.0,-,**
Fraser,Grand,80442,1826.0,432.0,6.3,4,40.0,38.0,0,57,114.0,76.0,6.1,9.6,271.0,150.0,7.4,12.7,223.0,110.0,0,13.1,375.0,185.0,5.2,9.8,234.0,109.0,10.6,11.1,105.0,69.0,21,24.4,154.0,118.0,0,38.8,258.0,189.0,0,35.6,52.0,66.0,0,90.1
Frisco,Summit,80443,3218.0,392.0,6.6,6.3,70.0,60.0,-,**,52.0,45.0,0,42,426.0,215.0,16.4,26.1,321.0,246.0,26,22.5,611.0,361.0,1.3,2.4,596.0,227.0,0,5.3,338.0,193.0,0,11.8,244.0,161.0,0,14.6,397.0,230.0,0,48.9,163.0,103.0,-,**
Georgetown,Clear Creek,80444,1088.0,162.0,5.5,3.1,40.0,27.0,0,73.6,82.0,50.0,8.1,14.9,87.0,37.0,5.8,8.8,65.0,34.0,7,11.1,166.0,54.0,0,22.9,232.0,64.0,2.8,4,70.0,28.0,20.4,21.2,96.0,39.0,18.6,21.3,180.0,63.0,0,25.9,70.0,38.0,0,79
Granby,Grand,80446,3400.0,509.0,3.8,2.9,135.0,80.0,7.7,14.1,188.0,148.0,13.9,18.7,307.0,136.0,0,10.3,361.0,129.0,2.4,4.3,292.0,126.0,0,12.1,740.0,182.0,3,3.9,323.0,122.0,2.6,2.7,626.0,217.0,2.1,3.5,334.0,130.0,20.9,28.8,94.0,76.0,0,100
Grand Lake,Grand,80447,1442.0,423.0,0,3.6,3.0,7.0,0,100,8.0,8.0,0,100,0.0,11.0,-,**,80.0,73.0,0,37.4,180.0,160.0,0,15.3,233.0,174.0,0,12.1,101.0,83.0,0,25.3,270.0,179.0,0,23.9,413.0,211.0,0,31.4,154.0,96.0,0,39.9
Grant,Park,80448,210.0,179.0,0,30.3,16.0,25.0,0,71.2,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,64.0,73.0,0,35.3,29.0,33.0,-,**,0.0,11.0,-,**,101.0,146.0,-,**,0.0,11.0,-,**
Hartsel,Park,80449,782.0,244.0,0,7.7,0.0,11.0,-,**,0.0,11.0,-,**,3.0,5.0,0,100,0.0,11.0,-,**,122.0,99.0,0,22.9,121.0,83.0,0,29.5,190.0,126.0,0,25.7,87.0,56.0,0,41.6,163.0,81.0,0,54.8,96.0,79.0,-,**
Hot Sulphur Springs,Grand,80451,710.0,207.0,15.2,16.8,72.0,54.0,62.5,54.5,22.0,29.0,0,60.7,94.0,55.0,0,36.3,68.0,71.0,0,36.7,109.0,60.0,0,26.3,174.0,103.0,36,39.4,64.0,41.0,0,54.8,36.0,30.0,0,71.2,47.0,31.0,0,76.1,24.0,37.0,-,**
Idaho Springs,Clear Creek,80452,2613.0,341.0,6.5,3.4,81.0,58.0,0,55.9,223.0,92.0,11.7,13.8,203.0,72.0,3.2,5.6,71.0,41.0,0,33,462.0,142.0,0,7.2,441.0,182.0,5.7,7.2,427.0,124.0,7.2,8,217.0,71.0,35.5,19.7,310.0,142.0,5,8.6,178.0,75.0,0,51.2
Idledale,Jefferson,80453,286.0,150.0,5.7,6,27.0,43.0,-,**,14.0,22.0,50,14.4,16.0,24.0,0,71.2,27.0,26.0,18.5,20.5,67.0,76.0,0,43,54.0,67.0,0,52,39.0,41.0,0,45.6,18.0,19.0,0,67.2,24.0,26.0,0,58.2,0.0,11.0,-,**
Indian Hills,Jefferson,80454,948.0,176.0,5.7,6.5,26.0,31.0,55.6,55.6,41.0,44.0,75.6,29.3,70.0,63.0,0,33.3,96.0,66.0,0,29.5,239.0,89.0,0,14.7,142.0,67.0,0,18.9,63.0,45.0,0,39.1,63.0,53.0,0,35.6,156.0,77.0,0,37.4,52.0,42.0,-,**
Jamestown,Boulder,80455,375.0,120.0,0.8,2,23.0,30.0,0,100,15.0,24.0,-,**,39.0,37.0,0,50.4,22.0,21.0,0,60.7,57.0,36.0,0,38.4,105.0,46.0,2.2,6.1,22.0,16.0,0,60.7,22.0,15.0,0,82.3,52.0,39.0,0,65.4,18.0,22.0,-,**
Jefferson,Park,80456,820.0,204.0,11.9,12,0.0,11.0,-,**,48.0,47.0,0,82.3,62.0,47.0,0,36,33.0,37.0,0,76.1,57.0,84.0,0,50.4,154.0,101.0,31.8,33.3,105.0,72.0,0,32.3,20.0,25.0,0,90.1,241.0,108.0,0,42,100.0,92.0,0,95
Kittredge,Jefferson,80457,336.0,165.0,0,10.7,0.0,11.0,-,**,0.0,11.0,-,**,67.0,102.0,0,34.3,41.0,49.0,0,44.5,99.0,104.0,0,25.7,69.0,64.0,0,37.4,38.0,44.0,-,**,22.0,34.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Kremmling,Grand,80459,1918.0,311.0,10.7,4.4,219.0,100.0,0,29.5,173.0,102.0,62.2,16.5,67.0,48.0,0,35.6,201.0,89.0,5.7,7.1,373.0,107.0,4.1,4.8,274.0,109.0,9,11.2,216.0,79.0,1.6,2.6,230.0,92.0,0,17,94.0,45.0,0,59.4,71.0,57.0,-,**
Leadville,Lake,80461,5973.0,221.0,5.7,2.6,407.0,177.0,41.1,22.8,615.0,175.0,8.8,8.4,599.0,145.0,0,5.3,372.0,133.0,13.2,14.8,1121.0,218.0,5.8,7,1044.0,194.0,1.3,2.2,477.0,156.0,1.5,2.4,531.0,134.0,4.7,7.3,583.0,125.0,0,21.3,224.0,107.0,-,**
Mc Coy,Eagle,80463,134.0,66.0,10.9,19.1,7.0,11.0,100,100,0.0,11.0,-,**,0.0,11.0,-,**,6.0,10.0,0,100,15.0,16.0,0,73.6,13.0,18.0,0,100,22.0,20.0,0,69.1,40.0,26.0,0,95,3.0,6.0,0,100,28.0,38.0,-,**
Morrison,Jefferson,80465,13478.0,485.0,4.4,1.3,831.0,240.0,16,12.3,682.0,172.0,6.8,5.2,864.0,235.0,1.8,2.8,951.0,178.0,6.9,5.9,2106.0,220.0,3.4,2.4,2827.0,330.0,4.5,2.7,1495.0,187.0,3.6,2.8,1416.0,197.0,2.4,2.6,1638.0,198.0,0,4.9,668.0,129.0,24.1,34.7
Nederland,Boulder,80466,3090.0,401.0,2.7,1.7,76.0,41.0,0,90.1,224.0,132.0,0,14.9,258.0,135.0,0,13.9,305.0,158.0,12.3,12.6,731.0,243.0,2.4,3.9,557.0,168.0,0,6.2,327.0,115.0,2.9,4.7,153.0,77.0,2.4,6.6,362.0,161.0,0,27,97.0,49.0,0,50.4
Oak Creek,Routt,80467,1794.0,193.0,6.5,3,52.0,28.0,0,58.2,109.0,51.0,31.8,19.9,137.0,72.0,8,10.3,173.0,60.0,11.1,9.2,370.0,91.0,1.1,1.8,348.0,75.0,5.7,5.3,148.0,54.0,5.9,8.7,204.0,64.0,0,19.7,209.0,64.0,9.3,11.3,44.0,28.0,-,**
Parshall,Grand,80468,330.0,143.0,0,12.8,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,15.0,20.0,0,73.6,64.0,59.0,0,35.3,71.0,57.0,0,39.1,52.0,47.0,0,39.5,50.0,57.0,0,48.9,78.0,77.0,-,**
Phippsburg,Routt,80469,289.0,113.0,0,10.9,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,92.0,91.0,0,27.2,0.0,11.0,-,**,29.0,24.0,0,58.2,98.0,64.0,0,27,34.0,32.0,0,52.9,13.0,12.0,0,100,23.0,25.0,0,73.6
Pine,Jefferson,80470,2821.0,407.0,5,2.2,45.0,38.0,0,42.5,77.0,60.0,0,38.4,277.0,171.0,14.1,13.6,317.0,138.0,6.7,8.2,252.0,101.0,13.9,14.8,631.0,161.0,1.3,2.1,425.0,151.0,2.5,4,313.0,116.0,0,17.6,351.0,131.0,6.5,10.2,133.0,85.0,0,73.6
Pinecliffe,Boulder,80471,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Rand,Jackson,80473,5.0,7.0,0,100,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,5.0,7.0,0,100,0.0,11.0,-,**
Rollinsville,Gilpin,80474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawnee,Park,80475,77.0,78.0,0,31.1,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,40.0,61.0,0,45.1,0.0,11.0,-,**,37.0,56.0,0,46.8
Silver Plume,Clear Creek,80476,193.0,52.0,2.3,3.2,7.0,7.0,0,100,5.0,7.0,0,100,11.0,11.0,25,54.7,11.0,10.0,0,95,31.0,15.0,0,58.2,41.0,26.0,0,46.8,23.0,15.0,0,63.7,12.0,12.0,0,82.3,31.0,16.0,15.4,30,21.0,17.0,-,**
Steamboat Springs,Routt,80477,136.0,114.0,0,38.4,35.0,57.0,0,82.3,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,43.0,52.0,0,43.5,19.0,30.0,-,**,0.0,11.0,-,**,22.0,36.0,-,**,17.0,25.0,-,**
Tabernash,Grand,80478,1591.0,663.0,4,7.2,102.0,114.0,0,45.1,261.0,228.0,0,11.1,127.0,142.0,0,20.9,26.0,35.0,0,55.9,189.0,157.0,0,14.6,325.0,222.0,0,8.8,149.0,132.0,30.9,45.8,98.0,128.0,0,41.6,273.0,189.0,0,100,41.0,58.0,-,**
Toponas,Routt,80479,11.0,12.0,0,100,0.0,11.0,-,**,0.0,11.0,-,**,6.0,9.0,0,100,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,5.0,8.0,-,**
Walden,Jackson,80480,1057.0,85.0,1.8,1.7,34.0,25.0,0,90.1,63.0,38.0,0,42,55.0,43.0,0,39.1,85.0,38.0,2.7,5.3,98.0,39.0,6.9,10,186.0,52.0,4.2,6.1,152.0,35.0,0,18.7,95.0,44.0,0,35.3,167.0,46.0,0,27.9,122.0,37.0,0,67.2
Ward,Boulder,80481,580.0,202.0,3.3,3.3,15.0,21.0,0,100,1.0,2.0,0,100,4.0,6.0,0,100,16.0,16.0,0,71.2,43.0,29.0,0,43.5,88.0,73.0,0,31.7,104.0,75.0,0,25.9,115.0,109.0,9.3,14.4,183.0,173.0,41.7,52.5,11.0,16.0,-,**
Winter Park,Grand,80482,880.0,297.0,7.8,9.3,0.0,11.0,-,**,47.0,47.0,0,41.6,61.0,58.0,0,36.3,50.0,56.0,0,40.3,275.0,135.0,21.9,25.2,149.0,91.0,0,19.3,75.0,59.0,0,40.3,123.0,143.0,0,52.9,71.0,55.0,0,95,29.0,25.0,-,**
Yampa,Routt,80483,562.0,150.0,4.8,3.9,42.0,28.0,66.7,59.6,9.0,10.0,33.3,52.4,20.0,18.0,0,63.7,88.0,52.0,0,37,84.0,50.0,2.7,5.4,89.0,49.0,2.9,4.4,55.0,35.0,0,38.4,98.0,84.0,9.1,15.5,62.0,32.0,0,100,15.0,11.0,0,100
Steamboat Springs,Routt,80487,14758.0,407.0,4.2,1.5,911.0,127.0,15.7,15.3,1212.0,155.0,11,6.4,1544.0,174.0,7.8,6.5,1220.0,178.0,2.3,3.5,2611.0,202.0,0.3,0.5,2618.0,169.0,2.7,1.8,1366.0,204.0,6.2,5.5,1185.0,187.0,1,1.5,1560.0,114.0,1.7,2.6,531.0,88.0,0,33.9
Steamboat Springs,Routt,80488,85.0,62.0,20,32.8,0.0,11.0,-,**,13.0,22.0,0,79,10.0,17.0,0,90.1,29.0,48.0,0,52.9,0.0,11.0,-,**,0.0,11.0,-,**,33.0,55.0,51.5,7.1,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Silverthorne,Summit,80497,483.0,299.0,0,6.5,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,181.0,193.0,0,18.4,0.0,11.0,-,**,211.0,164.0,0,13.2,19.0,33.0,0,65.4,0.0,11.0,-,**,72.0,114.0,0,32.7,0.0,11.0,-,**
Silverthorne,Summit,80498,6475.0,844.0,0.6,0.9,173.0,125.0,100,100,725.0,343.0,0.2,0.7,336.0,213.0,0,9.6,615.0,299.0,0,5.3,1388.0,367.0,0,2.4,985.0,269.0,0,3.1,684.0,252.0,2.6,4.4,698.0,384.0,1.9,3.8,651.0,271.0,0,17.3,220.0,141.0,0,85.9
Longmont,Boulder,80501,32756.0,890.0,7.1,1,2056.0,308.0,17.7,7.8,2970.0,438.0,9.3,4.9,3202.0,365.0,7,3.4,2969.0,352.0,2.7,2.1,5545.0,425.0,7.7,2.8,5757.0,394.0,5.9,2.4,2571.0,305.0,6.9,4,2175.0,282.0,7.9,3.8,3046.0,270.0,2.7,3,2465.0,244.0,0,20.2
Longmont,Boulder,80502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longmont,Boulder,80503,26172.0,781.0,5.3,1.1,1710.0,369.0,10.6,10.4,2188.0,492.0,16.6,6.6,1699.0,314.0,2.1,2.4,1344.0,238.0,4.2,3.7,3720.0,337.0,2.8,2.7,5173.0,428.0,2.8,1.4,3064.0,378.0,4.3,2.6,2441.0,310.0,6.9,4.5,3146.0,302.0,6.4,5.2,1687.0,269.0,0,39.1
Longmont,Weld,80504,38521.0,1014.0,6.9,1.2,2668.0,397.0,20.8,9.6,2353.0,352.0,14.2,9,3312.0,483.0,6.4,3.1,3513.0,346.0,9.8,4.1,7061.0,483.0,4.6,1.7,7225.0,551.0,3.4,1.9,3620.0,381.0,7.1,2.7,3167.0,436.0,3.7,2.7,3677.0,374.0,8.3,4.2,1925.0,221.0,2.4,3.5
Allenspark,Boulder,80510,448.0,138.0,12.7,10.1,5.0,7.0,100,100,54.0,56.0,0,38.8,22.0,33.0,0,60.7,14.0,15.0,0,76.1,46.0,51.0,34.8,27,26.0,16.0,42.3,38.9,58.0,32.0,0,39.9,88.0,46.0,0,46.8,98.0,65.0,13.5,23.8,37.0,32.0,-,**
Estes Park,Larimer,80511,150.0,84.0,0,31.1,0.0,11.0,-,**,49.0,57.0,-,**,0.0,11.0,-,**,53.0,122.0,0,39.1,0.0,11.0,-,**,48.0,78.0,0,58.2,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Bellvue,Larimer,80512,1534.0,256.0,5,3.8,64.0,33.0,45.8,52.3,17.0,21.0,0,82.3,125.0,91.0,0,36,105.0,60.0,0,24.5,119.0,65.0,10.1,16.3,197.0,106.0,0,16.7,99.0,47.0,0,37.4,219.0,80.0,7.8,12.1,360.0,120.0,6.5,10.5,229.0,102.0,0,65.4
Berthoud,Larimer,80513,9393.0,608.0,4.7,2.5,557.0,190.0,7,10,686.0,279.0,9.5,10.5,513.0,195.0,11.5,12.3,734.0,203.0,7.1,9.6,1308.0,287.0,3.3,3.6,1593.0,288.0,1.7,2.7,1407.0,324.0,6.1,5.8,870.0,206.0,0,5.5,1296.0,275.0,1,3,429.0,117.0,-,**
Dacono,Weld,80514,3598.0,231.0,3.3,2.5,254.0,115.0,11.7,20.7,284.0,173.0,6.9,13.6,424.0,154.0,2.9,4.8,412.0,110.0,0,7.6,760.0,182.0,0,5.4,742.0,205.0,7.1,7.7,141.0,70.0,0,28.4,199.0,103.0,0,22.5,228.0,106.0,0,57,154.0,73.0,0,95
Drake,Larimer,80515,892.0,363.0,9.1,13.7,2.0,5.0,-,**,15.0,21.0,0,100,12.0,17.0,0,82.3,39.0,58.0,0,45.6,194.0,129.0,31.9,40.7,246.0,184.0,0,12.5,47.0,49.0,0,46.8,208.0,158.0,0,26.3,119.0,119.0,0,43,10.0,17.0,-,**
Erie,Boulder,80516,17471.0,409.0,3.3,1,911.0,228.0,4.4,4,797.0,229.0,10.8,8,959.0,237.0,0,3.5,1549.0,240.0,5.8,4.7,4365.0,342.0,2.8,1.2,3906.0,348.0,2.6,1.3,1438.0,280.0,3.8,2.9,1385.0,222.0,2.7,2.6,1460.0,243.0,0.7,1.1,701.0,179.0,0,60.7
Estes Park,Larimer,80517,8126.0,449.0,4.2,2.5,222.0,92.0,0,29.7,397.0,177.0,0,8.4,560.0,206.0,0,6,412.0,173.0,0,8.3,578.0,155.0,13.9,11.7,851.0,200.0,5.5,5,975.0,276.0,2.2,3.5,1104.0,273.0,8.1,9.1,1715.0,248.0,2.5,4.1,1312.0,267.0,0,30
Firestone,Weld,80520,999.0,215.0,0,4,47.0,43.0,0,41.6,138.0,94.0,0,23.7,43.0,63.0,0,43.5,35.0,33.0,0,82.3,220.0,109.0,0,12.7,118.0,75.0,0,22.2,140.0,80.0,0,25.3,104.0,72.0,0,37.7,85.0,67.0,0,49.6,69.0,65.0,-,**
Fort Collins,Larimer,80521,33548.0,901.0,9.5,1.8,6301.0,378.0,30.5,7.6,11778.0,850.0,9.7,3,3664.0,412.0,7.3,3.9,2246.0,320.0,7.6,3.5,2718.0,264.0,1.4,1.2,2276.0,253.0,5.5,2.7,1269.0,194.0,5.2,3.5,1139.0,178.0,7.3,6.4,1351.0,162.0,0,5.9,806.0,134.0,0,37.4
Fort Collins,Larimer,80522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Collins,Larimer,80523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Collins,Larimer,80524,27431.0,910.0,6.5,1.1,1498.0,290.0,23.8,10.9,3425.0,576.0,6.7,2.8,2762.0,324.0,10.8,4.9,2680.0,312.0,5.7,3,4042.0,421.0,3.3,1.5,3523.0,370.0,7.2,2.7,2422.0,266.0,4,2.3,2182.0,233.0,3.3,2.9,2968.0,281.0,1.8,2.1,1929.0,245.0,11.8,14.8
Fort Collins,Larimer,80525,43261.0,1066.0,5.2,1,2505.0,390.0,25.4,8.8,5553.0,664.0,7.2,3.6,4571.0,467.0,4.4,2.1,4066.0,462.0,2.8,1.8,6478.0,509.0,1.5,1.1,6741.0,551.0,5.4,1.9,3475.0,285.0,5,2.9,2955.0,314.0,3.5,2.7,3836.0,321.0,4.4,3.7,3081.0,287.0,9.6,14.4
Fort Collins,Larimer,80526,37788.0,891.0,6.5,1.4,2369.0,461.0,17.3,8.1,7290.0,723.0,8.9,3.4,3962.0,433.0,5.5,2.5,3277.0,339.0,6.4,3.8,5705.0,502.0,5.8,2.5,5294.0,529.0,3.5,1.6,2832.0,314.0,2.6,1.8,2236.0,309.0,10.8,5.2,2831.0,309.0,2,3.1,1992.0,250.0,0,14.4
Fort Collins,Larimer,80527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Collins,Larimer,80528,14202.0,586.0,4.2,1.2,1013.0,179.0,26.8,13.5,989.0,270.0,5.1,5.6,871.0,198.0,1.3,2.3,1011.0,248.0,6.3,6.6,3434.0,327.0,1.6,1.1,3057.0,282.0,4.4,2.2,1087.0,206.0,3.4,2.8,754.0,154.0,2.9,3.9,1414.0,195.0,2.1,3.3,572.0,166.0,0,33.9
Frederick,Weld,80530,3215.0,196.0,4,2,172.0,86.0,8,14.3,173.0,73.0,18.3,15,324.0,98.0,1.4,5.3,355.0,89.0,1.5,2.4,664.0,116.0,2.8,3,641.0,145.0,1.5,2.3,227.0,84.0,4.9,8,228.0,80.0,10.4,10.6,310.0,82.0,0,29.7,121.0,44.0,0,65.4
Glen Haven,Larimer,80532,123.0,154.0,31.1,27.9,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,11.0,16.0,0,85.9,33.0,52.0,-,**,10.0,15.0,0,90.1,0.0,11.0,-,**,10.0,15.0,0,90.1,59.0,96.0,47.5,3
Hygiene,Boulder,80533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnstown,Weld,80534,12266.0,519.0,4,2.3,656.0,234.0,19.8,27.9,360.0,221.0,0,8.6,1284.0,291.0,1.8,2.8,1621.0,355.0,4.7,5.9,2190.0,364.0,5.8,5.9,1989.0,389.0,3.9,3.6,1047.0,264.0,0,3.1,1154.0,311.0,0,4.4,1506.0,301.0,12.3,15.5,459.0,161.0,-,**
Laporte,Larimer,80535,2123.0,263.0,5.3,3.3,111.0,78.0,55,55,98.0,72.0,0,28.4,78.0,59.0,31.3,44.5,99.0,53.0,8,14.6,224.0,134.0,0,13.3,374.0,128.0,4.1,6.2,445.0,147.0,2.8,4.7,294.0,109.0,6,9.9,247.0,92.0,17.3,24.5,153.0,95.0,0,95
Livermore,Larimer,80536,1876.0,222.0,1.3,1.9,53.0,61.0,-,**,13.0,23.0,0,79,85.0,53.0,0,32,57.0,49.0,0,37.7,282.0,101.0,0,20.6,392.0,121.0,0,10.5,233.0,93.0,6.5,10.3,265.0,85.0,0,17.4,356.0,90.0,0,38.1,140.0,59.0,0,76.1
Loveland,Larimer,80537,34796.0,1036.0,6.3,1.5,1827.0,326.0,10.5,5.9,2696.0,395.0,11.7,6.5,2466.0,341.0,4.8,3.4,3337.0,438.0,9,7.4,5256.0,510.0,4.9,2.4,5900.0,511.0,4.1,2.5,3400.0,327.0,4.3,2.3,2797.0,306.0,5.8,3,4202.0,370.0,8.4,4.7,2915.0,342.0,0,14
Loveland,Larimer,80538,37128.0,1038.0,4.8,1.2,2413.0,485.0,26.1,12.9,2403.0,557.0,5.1,2.6,2675.0,437.0,1.5,1.8,2279.0,298.0,15.1,7.1,6071.0,501.0,1,0.8,5844.0,544.0,3.8,1.5,3436.0,396.0,3.6,2.2,3349.0,438.0,2.8,2.1,4882.0,438.0,3.5,3.7,3776.0,353.0,0,11.4
Loveland,Larimer,80539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
